Watching for file changes with StatReloader
Watching for file changes with StatReloader
Listen failure: Couldn't listen on 0.0.0.0:8000: [Errno 98] Address already in use.
HTTP GET / 200 [0.03, 10.51.30.114:28721]
HTTP GET / 200 [0.02, 10.51.30.114:29515]
HTTP GET /assets/css/style.css 304 [0.01, 10.51.30.114:29515]
HTTP GET /assets/js/axios.min.js 304 [0.01, 10.51.30.114:29520]
HTTP GET /assets/css/common.css 304 [0.01, 10.51.30.114:29519]
HTTP GET /assets/css/reset.css 304 [0.01, 10.51.30.114:29518]
HTTP GET /assets/js/vue.js 304 [0.01, 10.51.30.114:29521]
HTTP GET /assets/js/common.js 304 [0.01, 10.51.30.114:29522]
HTTP GET /assets/img/home_logo.png 304 [0.00, 10.51.30.114:29515]
Not Found: /favicon.ico
HTTP GET / 200 [0.02, 10.51.30.114:36917]
HTTP POST / 302 [0.02, 10.51.30.114:36938]
HTTP GET /draft/result 200 [0.02, 10.51.30.114:36938]
HTTP GET /assets/img/copy-32.png 200 [0.00, 10.51.30.114:36938]
HTTP GET /draft/entry/101 200 [0.01, 10.51.30.114:36938]
HTTP POST /draft/entry/101 302 [0.01, 10.51.30.114:36938]
HTTP GET /draft/room/101 200 [0.02, 10.51.30.114:36938]
WebSocket HANDSHAKING /ws/draft/101/ [10.51.30.114:36981]
WebSocket CONNECT /ws/draft/101/ [10.51.30.114:36981]
HTTP GET /draft/draft/101 200 [0.02, 10.51.30.114:36938]
HTTP GET /draft/champion?lane=&name=&draft=101 200 [0.02, 10.51.30.114:36982]
HTTP GET /assets/img/champion82.png 304 [0.00, 10.51.30.114:36938]
HTTP GET /draft/room/101 302 [0.01, 10.51.30.114:36986]
HTTP GET /draft/entry/101 200 [0.01, 10.51.30.114:36986]
HTTP GET /assets/css/style.css 200 [0.01, 10.51.30.114:36986]
HTTP GET /assets/css/reset.css 200 [0.01, 10.51.30.114:36987]
HTTP GET /assets/css/common.css 200 [0.01, 10.51.30.114:36990]
HTTP GET /assets/js/common.js 200 [0.01, 10.51.30.114:36992]
HTTP GET /assets/js/axios.min.js 200 [0.01, 10.51.30.114:36991]
HTTP GET /assets/js/vue.js 200 [0.01, 10.51.30.114:36989]
